healpix_5,num_sources
0,10657
1,11128
2,10744
3,11044
4,11052
5,10964
6,10682
7,10558
8,10958
9,11052
10,10501
11,10598
12,11140
13,10121
14,10444
15,10155
16,11172
17,11424
18,10572
19,11716
20,11907
21,12464
22,12404
23,12160
24,9837
25,11188
26,11095
27,10904
28,10061
29,11893
30,9940
31,11746
32,10535
33,10267
34,10378
35,10295
36,10320
37,10379
38,10108
39,10954
40,10168
41,10487
42,10408
43,10741
44,10877
45,11157
46,10968
47,11467
48,10739
49,11340
50,11853
51,13082
52,11752
53,13465
54,12878
55,14409
56,12017
57,12880
58,11881
59,13249
60,13457
61,14742
62,13208
63,13881
64,14775
65,16248
66,13306
67,15494
68,18513
69,20292
70,17791
71,20365
72,13376
73,15080
74,14451
75,16189
76,16900
77,19879
78,18718
79,19971
80,21303
81,22082
82,21654
83,23523
84,27943
85,30238
86,25814
87,32552
88,21730
89,26915
90,23448
91,27837
92,30073
93,31869
94,32310
95,36337
96,15590
97,17167
98,16071
99,17426
100,18978
101,19750
102,18725
103,20198
104,16226
105,17206
106,15496
107,16317
108,17996
109,20381
110,17449
111,20770
112,22906
113,28567
114,21986
115,26099
116,33858
117,38461
118,34469
119,39628
120,21905
121,26816
122,24286
123,28046
124,32698
125,40899
126,33165
127,38729
128,10612
129,10368
130,10072
131,10585
132,10902
133,10877
134,10879
135,10960
136,10558
137,11276
138,11327
139,11360
140,11407
141,11729
142,11492
143,12196
144,11705
145,13233
146,10632
147,13528
148,14142
149,12196
150,14177
151,14102
152,11518
153,13155
154,11559
155,13569
156,14203
157,14067
158,13827
159,14944
160,11580
161,11963
162,11601
163,11960
164,12465
165,12049
166,12724
167,12492
168,12239
169,12663
170,12752
171,12935
172,12822
173,13175
174,13111
175,13401
176,12451
177,14238
178,13595
179,14977
180,14585
181,16306
182,15770
183,17358
184,13972
185,15051
186,14556
187,15628
188,17080
189,18195
190,17565
191,18873
192,12864
193,15511
194,14285
195,16856
196,19117
197,21483
198,19001
199,20884
200,15590
201,18121
202,16086
203,18632
204,19786
205,22114
206,20895
207,23152
208,24476
209,27710
210,22568
211,23857
212,31494
213,34161
214,21627
215,23629
216,23081
217,24148
218,25546
219,29634
220,27530
221,33767
222,33901
223,41346
224,17395
225,19814
226,18327
227,19938
228,21623
229,23983
230,21656
231,24624
232,19550
233,21612
234,21080
235,23279
236,23781
237,27453
238,26303
239,31045
240,27239
241,31770
242,30021
243,34949
244,38031
245,42273
246,39220
247,45957
248,33444
249,38553
250,36435
251,42328
252,44439
253,51527
254,48934
255,56377
256,38367
257,41256
258,38995
259,36480
260,47675
261,45803
262,35504
263,33654
264,40994
265,38064
266,37307
267,44939
268,36556
269,42650
270,36109
271,46499
272,57758
273,67994
274,64994
275,76792
276,88446
277,113285
278,94300
279,104209
280,58972
281,70094
282,58107
283,62084
284,78891
285,98975
286,77615
287,88037
288,42056
289,43638
290,45124
291,41694
292,39374
293,57998
294,49302
295,64678
296,45389
297,45514
298,41524
299,47805
300,55588
301,69742
302,59773
303,71951
304,67306
305,71464
306,71363
307,68738
308,69786
309,87435
310,65655
311,89473
312,74950
313,71049
314,80698
315,62532
316,61253
317,91624
318,72866
319,113298
320,133928
321,138522
322,122839
323,132040
324,153417
325,152638
326,130829
327,135161
328,121144
329,148714
330,110888
331,145811
332,152354
333,164953
334,161874
335,193324
336,119084
337,148645
338,132658
339,154500
340,131108
341,110583
342,130463
343,106517
344,157993
345,148106
346,174061
347,145523
348,121191
349,97597
350,111567
351,90437
352,110499
353,148352
354,122519
355,169947
356,185803
357,209429
358,195022
359,188814
360,135912
361,177701
362,147540
363,166127
364,197073
365,160931
366,175063
367,167871
368,168613
369,140990
370,161425
371,125295
372,106623
373,86263
374,102124
375,79457
376,147692
377,119651
378,148697
379,113845
380,99213
381,78478
382,90415
383,69942
384,28150
385,46138
386,32620
387,49810
388,60003
389,69522
390,60291
391,57623
392,40958
393,48280
394,47424
395,50207
396,59432
397,59445
398,70485
399,79871
400,75992
401,61005
402,60947
403,69921
404,93862
405,123898
406,102324
407,127076
408,68463
409,88035
410,86300
411,108873
412,125964
413,132765
414,133069
415,139870
416,47292
417,61793
418,53644
419,67394
420,77138
421,88988
422,80020
423,94427
424,60501
425,73829
426,65959
427,77381
428,88141
429,101370
430,95910
431,104525
432,94527
433,112978
434,103810
435,126211
436,136669
437,132362
438,136025
439,128797
440,109864
441,132116
442,118002
443,137082
444,122783
445,125299
446,121422
447,132727
448,143213
449,138092
450,148415
451,133426
452,165964
453,163662
454,171507
455,153843
456,121777
457,144164
458,128545
459,132196
460,166877
461,120359
462,133870
463,122374
464,144602
465,106921
466,132237
467,101279
468,81255
469,66550
470,77837
471,62595
472,114414
473,93449
474,106818
475,82180
476,72492
477,58131
478,63143
479,54806
480,141796
481,136026
482,159745
483,158370
484,128395
485,125235
486,139940
487,120926
488,189420
489,134886
490,160500
491,161539
492,134091
493,110011
494,146313
495,106419
496,92135
497,76878
498,95268
499,75453
500,62007
501,53105
502,58809
503,52517
504,81436
505,68508
506,77071
507,68456
508,59133
509,50015
510,58637
511,46658
512,13365
513,13277
514,14114
515,14115
516,12941
517,13902
518,14574
519,14670
520,14509
521,14889
522,15565
523,15382
524,15171
525,15968
526,16331
527,17430
528,15212
529,17246
530,16325
531,17705
532,18539
533,19966
534,19961
535,21157
536,17711
537,19195
538,48162
539,20154
540,20995
541,23036
542,22361
543,25142
544,16139
545,17132
546,17075
547,18143
548,17616
549,18624
550,18911
551,20534
552,18326
553,19078
554,20400
555,20691
556,20570
557,22232
558,22066
559,24318
560,22643
561,22418
562,22114
563,24242
564,24216
565,26722
566,27393
567,30096
568,23841
569,26292
570,26148
571,28529
572,29245
573,33392
574,32803
575,37148
576,21982
577,24794
578,22944
579,26263
580,28253
581,33194
582,30705
583,36214
584,24657
585,28147
586,27342
587,31928
588,33888
589,39573
590,37016
591,43042
592,39240
593,45651
594,41742
595,49417
596,52272
597,60855
598,58420
599,67634
600,46172
601,53578
602,50346
603,58427
604,61734
605,73248
606,67818
607,79166
608,30652
609,35357
610,33848
611,38681
612,40616
613,46357
614,45027
615,52406
616,38280
617,44123
618,42015
619,48597
620,51126
621,59160
622,56962
623,65620
624,54201
625,63287
626,60710
627,68588
628,74456
629,85963
630,80753
631,97769
632,67826
633,78195
634,75238
635,88383
636,93142
637,115701
638,104545
639,129995
640,21914
641,22779
642,22546
643,23933
644,24027
645,26729
646,27491
647,29813
648,24634
649,27734
650,28232
651,30448
652,30232
653,34068
654,34454
655,53333
656,28827
657,32136
658,32433
659,36489
660,36668
661,41191
662,41202
663,46597
664,38190
665,43014
666,49466
667,48126
668,47981
669,55028
670,53386
671,61930
672,32654
673,34699
674,35822
675,41044
676,40008
677,67484
678,45490
679,51191
680,40906
681,47190
682,48128
683,53959
684,53656
685,61351
686,60654
687,71123
688,51354
689,55488
690,59281
691,67738
692,62438
693,72766
694,77892
695,94003
696,69869
697,81886
698,84319
699,103811
700,97368
701,115556
702,122628
703,138845
704,47249
705,54999
706,54015
707,62138
708,62925
709,72470
710,70763
711,84335
712,64042
713,73719
714,72119
715,86350
716,86787
717,97490
718,98406
719,112206
720,86089
721,100210
722,93733
723,111937
724,121007
725,150589
726,146782
727,170022
728,107023
729,131230
730,131910
731,164703
732,158337
733,189438
734,195997
735,234651
736,86708
737,98579
738,110415
739,131407
740,119547
741,147377
742,148302
743,165341
744,133108
745,157093
746,171139
747,194740
748,179797
749,207186
750,213591
751,217853
752,167206
753,204044
754,207185
755,227684
756,222852
757,261295
758,277354
759,225121
760,216321
761,246411
762,273304
763,303755
764,282931
765,262893
766,354684
767,224361
768,71246
769,83543
770,75945
771,93002
772,103446
773,105580
774,105848
775,111058
776,84906
777,102736
778,96024
779,108253
780,109741
781,116530
782,127055
783,135399
784,131994
785,127640
786,130699
787,127160
788,114836
789,122413
790,97159
791,133899
792,128159
793,122175
794,132226
795,116387
796,94868
797,152361
798,69065
799,128744
800,104221
801,120289
802,116505
803,140104
804,147209
805,142731
806,166329
807,172528
808,141508
809,168229
810,157109
811,183806
812,194590
813,202793
814,218796
815,209341
816,135737
817,119576
818,158632
819,174586
820,144343
821,161698
822,149356
823,160089
824,194620
825,187889
826,169844
827,234524
828,204398
829,170629
830,231360
831,159079
832,194393
833,167361
834,204063
835,160961
836,135538
837,98684
838,119891
839,91102
840,168421
841,152324
842,160632
843,137827
844,103105
845,82180
846,101186
847,73609
848,82810
849,67869
850,83925
851,68533
852,54681
853,45908
854,55465
855,47127
856,75806
857,66715
858,74301
859,64509
860,54832
861,45173
862,53483
863,42277
864,146238
865,133744
866,132380
867,111840
868,87982
869,76147
870,83750
871,77017
872,136397
873,96931
874,113320
875,101090
876,92285
877,74123
878,84617
879,70422
880,70888
881,61873
882,69453
883,59383
884,50660
885,39562
886,48080
887,36686
888,67113
889,55836
890,65316
891,53943
892,45523
893,36393
894,43347
895,34611
896,175718
897,217153
898,207512
899,242753
900,227366
901,178311
902,227785
903,244274
904,240242
905,281884
906,256550
907,219387
908,231721
909,269513
910,237736
911,254295
912,159701
913,236250
914,273564
915,230969
916,189105
917,130917
918,163752
919,122982
920,272335
921,175025
922,195613
923,147018
924,151528
925,117138
926,132475
927,113000
928,256689
929,218846
930,273599
931,238192
932,208620
933,205951
934,188846
935,196140
936,184294
937,159984
938,119657
939,137341
940,191364
941,164602
942,133790
943,136898
944,192038
945,162199
946,182562
947,157875
948,141396
949,118252
950,135580
951,107295
952,172026
953,129347
954,139812
955,113075
956,111295
957,88444
958,86993
959,74424
960,93534
961,86826
962,65602
963,83516
964,77765
965,70855
966,70282
967,69472
968,102612
969,84530
970,89538
971,72980
972,65447
973,64614
974,60488
975,58894
976,61857
977,50935
978,58015
979,48679
980,41542
981,34590
982,40653
983,33903
984,54190
985,47075
986,50814
987,45831
988,40245
989,33008
990,37877
991,32328
992,95406
993,66478
994,83446
995,61199
996,54457
997,54953
998,55567
999,53049
1000,70780
1001,61682
1002,65425
1003,56875
1004,54497
1005,49097
1006,50033
1007,44088
1008,48473
1009,40829
1010,45439
1011,37554
1012,36906
1013,31322
1014,35659
1015,29474
1016,43706
1017,38095
1018,40240
1019,37367
1020,32078
1021,25200
1022,29197
1023,24058
1024,23224
1025,19618
1026,24390
1027,21612
1028,18590
1029,16953
1030,18878
1031,16978
1032,24539
1033,22389
1034,25760
1035,22498
1036,19762
1037,17726
1038,20658
1039,18263
1040,15392
1041,15042
1042,16265
1043,14945
1044,14252
1045,13767
1046,14146
1047,14086
1048,15998
1049,14967
1050,16996
1051,16383
1052,14368
1053,13832
1054,14667
1055,13635
1056,26486
1057,23617
1058,26290
1059,24309
1060,21696
1061,19849
1062,22001
1063,20764
1064,27773
1065,24069
1066,29594
1067,25766
1068,22577
1069,20713
1070,22929
1071,20926
1072,17574
1073,16492
1074,20432
1075,16686
1076,15656
1077,14503
1078,15655
1079,14892
1080,19966
1081,17937
1082,20299
1083,18459
1084,16099
1085,15292
1086,17891
1087,15987
1088,12706
1089,11824
1090,13268
1091,12190
1092,11234
1093,10728
1094,11633
1095,11495
1096,13124
1097,12602
1098,13540
1099,12891
1100,12052
1101,11561
1102,12272
1103,12120
1104,10860
1105,10701
1106,10775
1107,10987
1108,10505
1109,10067
1110,10659
1111,10089
1112,11138
1113,11240
1114,11733
1115,10945
1116,10749
1117,10144
1118,10398
1119,9655
1120,13766
1121,13170
1122,14338
1123,13969
1124,12476
1125,12108
1126,13136
1127,12837
1128,14447
1129,13808
1130,14714
1131,13525
1132,12775
1133,12617
1134,12647
1135,12239
1136,11651
1137,11430
1138,12194
1139,11307
1140,10590
1141,10088
1142,11308
1143,10887
1144,12296
1145,11594
1146,12128
1147,11728
1148,11184
1149,11021
1150,11495
1151,11133
1152,32078
1153,27373
1154,32732
1155,29393
1156,23819
1157,21778
1158,25925
1159,23847
1160,34273
1161,30466
1162,36148
1163,32353
1164,27178
1165,24269
1166,28035
1167,25760
1168,20426
1169,19385
1170,20813
1171,19096
1172,18361
1173,17127
1174,19117
1175,17502
1176,22319
1177,20328
1178,23337
1179,21175
1180,18791
1181,17658
1182,19434
1183,17914
1184,38611
1185,34538
1186,39995
1187,36148
1188,30296
1189,26997
1190,31606
1191,27533
1192,42335
1193,37393
1194,44641
1195,39059
1196,33036
1197,28730
1198,34320
1199,30195
1200,24340
1201,21722
1202,25164
1203,22947
1204,19774
1205,18192
1206,21041
1207,18586
1208,25514
1209,23446
1210,27346
1211,24825
1212,21926
1213,19825
1214,23024
1215,20902
1216,15541
1217,13762
1218,16115
1219,14811
1220,12660
1221,12139
1222,13118
1223,12725
1224,16500
1225,15406
1226,17466
1227,15847
1228,14483
1229,12964
1230,15071
1231,14196
1232,11976
1233,11245
1234,12410
1235,11707
1236,11666
1237,11568
1238,11436
1239,11391
1240,12625
1241,12003
1242,13746
1243,12670
1244,11857
1245,11253
1246,11821
1247,11555
1248,17313
1249,16274
1250,17570
1251,16424
1252,15496
1253,15123
1254,15989
1255,14979
1256,18377
1257,16891
1258,19580
1259,17810
1260,16390
1261,15594
1262,15998
1263,15683
1264,14196
1265,13429
1266,14314
1267,13898
1268,13043
1269,12452
1270,12780
1271,12909
1272,14586
1273,14098
1274,14952
1275,14473
1276,13378
1277,12674
1278,13820
1279,13191
1280,9376
1281,9286
1282,9923
1283,9347
1284,9172
1285,9045
1286,9023
1287,8734
1288,9628
1289,9279
1290,9737
1291,9428
1292,9282
1293,9249
1294,9240
1295,9093
1296,8731
1297,8660
1298,8717
1299,8713
1300,8595
1301,8792
1302,8375
1303,8297
1304,8673
1305,8391
1306,9051
1307,8532
1308,8670
1309,8448
1310,8570
1311,8425
1312,9518
1313,9286
1314,10509
1315,10161
1316,9106
1317,9208
1318,9896
1319,10015
1320,10914
1321,10790
1322,10890
1323,10771
1324,10173
1325,10020
1326,10011
1327,9943
1328,9198
1329,8933
1330,10019
1331,9478
1332,8915
1333,9227
1334,9042
1335,8977
1336,9726
1337,9441
1338,9949
1339,9794
1340,9342
1341,9207
1342,9959
1343,10251
1344,8557
1345,7965
1346,8704
1347,8166
1348,8334
1349,8592
1350,8308
1351,8237
1352,8316
1353,8372
1354,8793
1355,8715
1356,8383
1357,8564
1358,8459
1359,8516
1360,8284
1361,8704
1362,8804
1363,9143
1364,8597
1365,8692
1366,8632
1367,8691
1368,8545
1369,8704
1370,8762
1371,9010
1372,8634
1373,8796
1374,9100
1375,9420
1376,8861
1377,8564
1378,8819
1379,8808
1380,8290
1381,8612
1382,8667
1383,8933
1384,9252
1385,9073
1386,9466
1387,9300
1388,9134
1389,9216
1390,9391
1391,9365
1392,8781
1393,9341
1394,9274
1395,9620
1396,9513
1397,9529
1398,9545
1399,9705
1400,9412
1401,9706
1402,9309
1403,9508
1404,9576
1405,9805
1406,9999
1407,9829
1408,10946
1409,10507
1410,11026
1411,10943
1412,10330
1413,9836
1414,10552
1415,10297
1416,10849
1417,10615
1418,11417
1419,10895
1420,10763
1421,10731
1422,11355
1423,10521
1424,9813
1425,9724
1426,10098
1427,10260
1428,10214
1429,10244
1430,9797
1431,9849
1432,10358
1433,9725
1434,10427
1435,10166
1436,9819
1437,9733
1438,9891
1439,10117
1440,11768
1441,11477
1442,12234
1443,12599
1444,11263
1445,10857
1446,11937
1447,11618
1448,12110
1449,12073
1450,12771
1451,12096
1452,11925
1453,11251
1454,11867
1455,11746
1456,10870
1457,10532
1458,10950
1459,11202
1460,10521
1461,10567
1462,11035
1463,11198
1464,10894
1465,11232
1466,11243
1467,11312
1468,11025
1469,11359
1470,11382
1471,10664
1472,10126
1473,9663
1474,9826
1475,9853
1476,9421
1477,9063
1478,9403
1479,9571
1480,9833
1481,9321
1482,10108
1483,9800
1484,9160
1485,9619
1486,10034
1487,10043
1488,9206
1489,9817
1490,9631
1491,9940
1492,10090
1493,10009
1494,10250
1495,10451
1496,10321
1497,10395
1498,10458
1499,10546
1500,10438
1501,10468
1502,10466
1503,10144
1504,11332
1505,10414
1506,10564
1507,10466
1508,10233
1509,10453
1510,10248
1511,10800
1512,10360
1513,10389
1514,10769
1515,10716
1516,10148
1517,11076
1518,10718
1519,11046
1520,10533
1521,10654
1522,10998
1523,10477
1524,10665
1525,10493
1526,10629
1527,10280
