healpix_5,num_sources
0.0,10657
1.0,11128
2.0,10744
3.0,11044
4.0,11052
5.0,10964
6.0,10682
7.0,10558
8.0,10958
9.0,11052
10.0,10501
11.0,10598
12.0,11140
13.0,10121
14.0,10444
15.0,10155
16.0,11172
17.0,11424
18.0,10572
19.0,11716
20.0,11907
21.0,12464
22.0,12404
23.0,12160
24.0,9837
25.0,11188
26.0,11095
27.0,10904
28.0,10061
29.0,11893
30.0,9940
31.0,11746
32.0,10535
33.0,10267
34.0,10378
35.0,10295
36.0,10320
37.0,10379
38.0,10108
39.0,10954
40.0,10168
41.0,10487
42.0,10408
43.0,10741
44.0,10877
45.0,11157
46.0,10968
47.0,11467
48.0,10739
49.0,11340
50.0,11853
51.0,13082
52.0,11752
53.0,13465
54.0,12878
55.0,14409
56.0,12017
57.0,12880
58.0,11881
59.0,13249
60.0,13457
61.0,14742
62.0,13208
63.0,13881
64.0,14775
65.0,16248
66.0,13306
67.0,15494
68.0,18513
69.0,20292
70.0,17791
71.0,20365
72.0,13376
73.0,15080
74.0,14451
75.0,16189
76.0,16900
77.0,19879
78.0,18718
79.0,19971
80.0,21303
81.0,22082
82.0,21654
83.0,23523
84.0,27943
85.0,30238
86.0,25814
87.0,32552
88.0,21730
89.0,26915
90.0,23448
91.0,27837
92.0,30073
93.0,31869
94.0,32310
95.0,36337
96.0,15590
97.0,17167
98.0,16071
99.0,17426
100.0,18978
101.0,19750
102.0,18725
103.0,20198
104.0,16226
105.0,17206
106.0,15496
107.0,16317
108.0,17996
109.0,20381
110.0,17449
111.0,20770
112.0,22906
113.0,28567
114.0,21986
115.0,26099
116.0,33858
117.0,38461
118.0,34469
119.0,39628
120.0,21905
121.0,26816
122.0,24286
123.0,28046
124.0,32698
125.0,40899
126.0,33165
127.0,38729
128.0,10612
129.0,10368
130.0,10072
131.0,10585
132.0,10902
133.0,10877
134.0,10879
135.0,10960
136.0,10558
137.0,11276
138.0,11327
139.0,11360
140.0,11407
141.0,11729
142.0,11492
143.0,12196
144.0,11705
145.0,13233
146.0,10632
147.0,13528
148.0,14142
149.0,12196
150.0,14177
151.0,14102
152.0,11518
153.0,13155
154.0,11559
155.0,13569
156.0,14203
157.0,14067
158.0,13827
159.0,14944
160.0,11580
161.0,11963
162.0,11601
163.0,11960
164.0,12465
165.0,12049
166.0,12724
167.0,12492
168.0,12239
169.0,12663
170.0,12752
171.0,12935
172.0,12822
173.0,13175
174.0,13111
175.0,13401
176.0,12451
177.0,14238
178.0,13595
179.0,14977
180.0,14585
181.0,16306
182.0,15770
183.0,17358
184.0,13972
185.0,15051
186.0,14556
187.0,15628
188.0,17080
189.0,18195
190.0,17565
191.0,18873
192.0,12864
193.0,15511
194.0,14285
195.0,16856
196.0,19117
197.0,21483
198.0,19001
199.0,20884
200.0,15590
201.0,18121
202.0,16086
203.0,18632
204.0,19786
205.0,22114
206.0,20895
207.0,23152
208.0,24476
209.0,27710
210.0,22568
211.0,23857
212.0,31494
213.0,34161
214.0,21627
215.0,23629
216.0,23081
217.0,24148
218.0,25546
219.0,29634
220.0,27530
221.0,33767
222.0,33901
223.0,41346
224.0,17395
225.0,19814
226.0,18327
227.0,19938
228.0,21623
229.0,23983
230.0,21656
231.0,24624
232.0,19550
233.0,21612
234.0,21080
235.0,23279
236.0,23781
237.0,27453
238.0,26303
239.0,31045
240.0,27239
241.0,31770
242.0,30021
243.0,34949
244.0,38031
245.0,42273
246.0,39220
247.0,45957
248.0,33444
249.0,38553
250.0,36435
251.0,42328
252.0,44439
253.0,51527
254.0,48934
255.0,56377
256.0,38367
257.0,41256
258.0,38995
259.0,36480
260.0,47675
261.0,45803
262.0,35504
263.0,33654
264.0,40994
265.0,38064
266.0,37307
267.0,44939
268.0,36556
269.0,42650
270.0,36109
271.0,46499
272.0,57758
273.0,67994
274.0,64994
275.0,76792
276.0,88446
277.0,113285
278.0,94300
279.0,104209
280.0,58972
281.0,70094
282.0,58107
283.0,62084
284.0,78891
285.0,98975
286.0,77615
287.0,88037
288.0,42056
289.0,43638
290.0,45124
291.0,41694
292.0,39374
293.0,57998
294.0,49302
295.0,64678
296.0,45389
297.0,45514
298.0,41524
299.0,47805
300.0,55588
301.0,69742
302.0,59773
303.0,71951
304.0,67306
305.0,71464
306.0,71363
307.0,68738
308.0,69786
309.0,87435
310.0,65655
311.0,89473
312.0,74950
313.0,71049
314.0,80698
315.0,62532
316.0,61253
317.0,91624
318.0,72866
319.0,113298
320.0,133928
321.0,138522
322.0,122839
323.0,132040
324.0,153417
325.0,152638
326.0,130829
327.0,135161
328.0,121144
329.0,148714
330.0,110888
331.0,145811
332.0,152354
333.0,164953
334.0,161874
335.0,193324
336.0,119084
337.0,148645
338.0,132658
339.0,154500
340.0,131108
341.0,110583
342.0,130463
343.0,106517
344.0,157993
345.0,148106
346.0,174061
347.0,145523
348.0,121191
349.0,97597
350.0,111567
351.0,90437
352.0,110499
353.0,148352
354.0,122519
355.0,169947
356.0,185803
357.0,209429
358.0,195022
359.0,188814
360.0,135912
361.0,177701
362.0,147540
363.0,166127
364.0,197073
365.0,160931
366.0,175063
367.0,167871
368.0,168613
369.0,140990
370.0,161425
371.0,125295
372.0,106623
373.0,86263
374.0,102124
375.0,79457
376.0,147692
377.0,119651
378.0,148697
379.0,113845
380.0,99213
381.0,78478
382.0,90415
383.0,69942
384.0,28150
385.0,46138
386.0,32620
387.0,49810
388.0,60003
389.0,69522
390.0,60291
391.0,57623
392.0,40958
393.0,48280
394.0,47424
395.0,50207
396.0,59432
397.0,59445
398.0,70485
399.0,79871
400.0,75992
401.0,61005
402.0,60947
403.0,69921
404.0,93862
405.0,123898
406.0,102324
407.0,127076
408.0,68463
409.0,88035
410.0,86300
411.0,108873
412.0,125964
413.0,132765
414.0,133069
415.0,139870
416.0,47292
417.0,61793
418.0,53644
419.0,67394
420.0,77138
421.0,88988
422.0,80020
423.0,94427
424.0,60501
425.0,73829
426.0,65959
427.0,77381
428.0,88141
429.0,101370
430.0,95910
431.0,104525
432.0,94527
433.0,112978
434.0,103810
435.0,126211
436.0,136669
437.0,132362
438.0,136025
439.0,128797
440.0,109864
441.0,132116
442.0,118002
443.0,137082
444.0,122783
445.0,125299
446.0,121422
447.0,132727
448.0,143213
449.0,138092
450.0,148415
451.0,133426
452.0,165964
453.0,163662
454.0,171507
455.0,153843
456.0,121777
457.0,144164
458.0,128545
459.0,132196
460.0,166877
461.0,120359
462.0,133870
463.0,122374
464.0,144602
465.0,106921
466.0,132237
467.0,101279
468.0,81255
469.0,66550
470.0,77837
471.0,62595
472.0,114414
473.0,93449
474.0,106818
475.0,82180
476.0,72492
477.0,58131
478.0,63143
479.0,54806
480.0,141796
481.0,136026
482.0,159745
483.0,158370
484.0,128395
485.0,125235
486.0,139940
487.0,120926
488.0,189420
489.0,134886
490.0,160500
491.0,161539
492.0,134091
493.0,110011
494.0,146313
495.0,106419
496.0,92135
497.0,76878
498.0,95268
499.0,75453
500.0,62007
501.0,53105
502.0,58809
503.0,52517
504.0,81436
505.0,68508
506.0,77071
507.0,68456
508.0,59133
509.0,50015
510.0,58637
511.0,46658
512.0,13365
513.0,13277
514.0,14114
515.0,14115
516.0,12941
517.0,13902
518.0,14574
519.0,14670
520.0,14509
521.0,14889
522.0,15565
523.0,15382
524.0,15171
525.0,15968
526.0,16331
527.0,17430
528.0,15212
529.0,17246
530.0,16325
531.0,17705
532.0,18539
533.0,19966
534.0,19961
535.0,21157
536.0,17711
537.0,19195
538.0,48162
539.0,20154
540.0,20995
541.0,23036
542.0,22361
543.0,25142
544.0,16139
545.0,17132
546.0,17075
547.0,18143
548.0,17616
549.0,18624
550.0,18911
551.0,20534
552.0,18326
553.0,19078
554.0,20400
555.0,20691
556.0,20570
557.0,22232
558.0,22066
559.0,24318
560.0,22643
561.0,22418
562.0,22114
563.0,24242
564.0,24216
565.0,26722
566.0,27393
567.0,30096
568.0,23841
569.0,26292
570.0,26148
571.0,28529
572.0,29245
573.0,33392
574.0,32803
575.0,37148
576.0,21982
577.0,24794
578.0,22944
579.0,26263
580.0,28253
581.0,33194
582.0,30705
583.0,36214
584.0,24657
585.0,28147
586.0,27342
587.0,31928
588.0,33888
589.0,39573
590.0,37016
591.0,43042
592.0,39240
593.0,45651
594.0,41742
595.0,49417
596.0,52272
597.0,60855
598.0,58420
599.0,67634
600.0,46172
601.0,53578
602.0,50346
603.0,58427
604.0,61734
605.0,73248
606.0,67818
607.0,79166
608.0,30652
609.0,35357
610.0,33848
611.0,38681
612.0,40616
613.0,46357
614.0,45027
615.0,52406
616.0,38280
617.0,44123
618.0,42015
619.0,48597
620.0,51126
621.0,59160
622.0,56962
623.0,65620
624.0,54201
625.0,63287
626.0,60710
627.0,68588
628.0,74456
629.0,85963
630.0,80753
631.0,97769
632.0,67826
633.0,78195
634.0,75238
635.0,88383
636.0,93142
637.0,115701
638.0,104545
639.0,129995
640.0,21914
641.0,22779
642.0,22546
643.0,23933
644.0,24027
645.0,26729
646.0,27491
647.0,29813
648.0,24634
649.0,27734
650.0,28232
651.0,30448
652.0,30232
653.0,34068
654.0,34454
655.0,53333
656.0,28827
657.0,32136
658.0,32433
659.0,36489
660.0,36668
661.0,41191
662.0,41202
663.0,46597
664.0,38190
665.0,43014
666.0,49466
667.0,48126
668.0,47981
669.0,55028
670.0,53386
671.0,61930
672.0,32654
673.0,34699
674.0,35822
675.0,41044
676.0,40008
677.0,67484
678.0,45490
679.0,51191
680.0,40906
681.0,47190
682.0,48128
683.0,53959
684.0,53656
685.0,61351
686.0,60654
687.0,71123
688.0,51354
689.0,55488
690.0,59281
691.0,67738
692.0,62438
693.0,72766
694.0,77892
695.0,94003
696.0,69869
697.0,81886
698.0,84319
699.0,103811
700.0,97368
701.0,115556
702.0,122628
703.0,138845
704.0,47249
705.0,54999
706.0,54015
707.0,62138
708.0,62925
709.0,72470
710.0,70763
711.0,84335
712.0,64042
713.0,73719
714.0,72119
715.0,86350
716.0,86787
717.0,97490
718.0,98406
719.0,112206
720.0,86089
721.0,100210
722.0,93733
723.0,111937
724.0,121007
725.0,150589
726.0,146782
727.0,170022
728.0,107023
729.0,131230
730.0,131910
731.0,164703
732.0,158337
733.0,189438
734.0,195997
735.0,234651
736.0,86708
737.0,98579
738.0,110415
739.0,131407
740.0,119547
741.0,147377
742.0,148302
743.0,165341
744.0,133108
745.0,157093
746.0,171139
747.0,194740
748.0,179797
749.0,207186
750.0,213591
751.0,217853
752.0,167206
753.0,204044
754.0,207185
755.0,227684
756.0,222852
757.0,261295
758.0,277354
759.0,225121
760.0,216321
761.0,246411
762.0,273304
763.0,303755
764.0,282931
765.0,262893
766.0,354684
767.0,224361
768.0,71246
769.0,83543
770.0,75945
771.0,93002
772.0,103446
773.0,105580
774.0,105848
775.0,111058
776.0,84906
777.0,102736
778.0,96024
779.0,108253
780.0,109741
781.0,116530
782.0,127055
783.0,135399
784.0,131994
785.0,127640
786.0,130699
787.0,127160
788.0,114836
789.0,122413
790.0,97159
791.0,133899
792.0,128159
793.0,122175
794.0,132226
795.0,116387
796.0,94868
797.0,152361
798.0,69065
799.0,128744
800.0,104221
801.0,120289
802.0,116505
803.0,140104
804.0,147209
805.0,142731
806.0,166329
807.0,172528
808.0,141508
809.0,168229
810.0,157109
811.0,183806
812.0,194590
813.0,202793
814.0,218796
815.0,209341
816.0,135737
817.0,119576
818.0,158632
819.0,174586
820.0,144343
821.0,161698
822.0,149356
823.0,160089
824.0,194620
825.0,187889
826.0,169844
827.0,234524
828.0,204398
829.0,170629
